    lat    lon     lam1     lam2     lam3    V1_Up     V1_E     V1_N    V2_Up     V2_E     V2_N    V3_Up     V3_E     V3_N
  -20.0  -15.0   2.3682  1.26170  0.33230 -0.15898  0.90752  0.38876 -0.13050 -0.40963  0.90287 -0.97862 -0.09281 -0.18356
  -20.0 -150.0   2.3033  1.37406  0.31367 -0.05468  0.90431 -0.42336 -0.21693  0.40311  0.88907  0.97466  0.14045  0.17413
  -20.0 -155.0   2.0692  1.42164  0.33749 -0.08591  0.91342 -0.39785 -0.20741  0.37418  0.90386 -0.97447 -0.16017 -0.15731
  -20.0 -160.0   1.7569  1.45577  0.38824 -0.07405  0.82820 -0.55552 -0.23214  0.52743  0.81727 -0.96986 -0.18948 -0.15320
  -20.0 -165.0   1.5258  1.40659  0.46273 -0.11702 -0.33172  0.93609  0.20877 -0.92972 -0.30336  0.97094  0.15993  0.17805
  -20.0 -170.0   1.4546  1.30717  0.52249 -0.17594 -0.01132  0.98434  0.12776 -0.99174  0.01143  0.97607  0.12777  0.17594
  -20.0 -175.0    1.522  1.30569  0.49981 -0.15736  0.24010  0.95791  0.08606 -0.96297  0.25550  0.98378  0.12265  0.13087
  -20.0  -20.0   2.6087  1.32332  0.28755 -0.21343  0.73102  0.64812 -0.00712 -0.66456  0.74721 -0.97693 -0.15486 -0.14705
  -20.0  -25.0   3.5358  0.92521  0.30413  0.14253 -0.37317 -0.91675  0.15795 -0.90576  0.39326 -0.97711 -0.20085 -0.07015
  -20.0  -30.0   3.8897  0.54014  0.47214  0.01487 -0.32602 -0.94525  0.74894 -0.62270  0.22655 -0.66247 -0.71131  0.23491
  -20.0  -35.0   3.6709  0.61206  0.44199 -0.02397  0.42821  0.90336 -0.07556 -0.90181  0.42547  0.99685 -0.05806  0.05397
  -20.0  -40.0   2.4238  0.92084  0.44506 -0.04447  0.53718  0.84229  0.08167 -0.83835  0.53898  0.99567  0.09276 -0.00659
  -20.0  -45.0   2.0441  1.07078  0.45395  0.05924 -0.68176 -0.72917  0.03008 -0.72890  0.68396 -0.99779 -0.06245 -0.02267
  -20.0   -5.0   2.8408  1.18404  0.29522  0.10246 -0.97744 -0.18469 -0.14809 -0.19859  0.96883 -0.98365 -0.07191 -0.16509
  -20.0  -50.0   1.9098  1.13172  0.45917  0.07651 -0.79303 -0.60436 -0.06939 -0.60890  0.79020 -0.99465 -0.01852 -0.10161
  -20.0  -55.0   1.8959  1.11916  0.46753  0.05287 -0.86774 -0.49420  0.01683 -0.49405  0.86927 -0.99846 -0.05427 -0.01152
  -20.0  -60.0   1.7606  1.02509  0.54960  0.03968 -0.88568 -0.46260 -0.01378 -0.46341  0.88604 -0.99912 -0.02878 -0.03059
  -20.0  -65.0   1.8146  0.97238  0.56232 -0.04157 -0.91866 -0.39285 -0.03828 -0.39144  0.91941 -0.99840  0.05326 -0.01890
  -20.0  -70.0   1.9225  0.93592  0.55165 -0.06903 -0.94651 -0.31521 -0.02438 -0.31427  0.94902 -0.99732  0.07320 -0.00138
  -20.0  -75.0   1.9381  0.88715  0.57743  0.07564  0.96189  0.26278 -0.05168 -0.25940  0.96439 -0.99579  0.08653 -0.03009
  -20.0  -80.0   2.2697  0.80951  0.54043  0.08828  0.97393  0.20898 -0.04802 -0.20539  0.97750  0.99494 -0.09633  0.02863
  -20.0  -85.0   2.8562  0.68711  0.50597  0.04324  0.98336  0.17643 -0.02422 -0.17551  0.98418  0.99877 -0.04682  0.01623
  -20.0  -90.0   3.5642  0.55542  0.50155  0.04666 -0.98428 -0.17035 -0.79536 -0.13978  0.58980 -0.60434  0.10796 -0.78938
  -20.0  -95.0   4.3549  0.68503  0.33301  0.18620 -0.97082 -0.15110 -0.96506 -0.20957  0.15728 -0.18436  0.11653 -0.97593
  -20.0    0.0   3.0685  1.15218  0.28099  0.08229 -0.98700 -0.13804 -0.11916 -0.14726  0.98189 -0.98946 -0.06435 -0.12973
  -20.0   10.0   3.2813  1.06823  0.28354  0.01274 -0.99790 -0.06348 -0.14038 -0.06464  0.98798 -0.99002 -0.00367 -0.14091
  -20.0  100.0   2.7476  0.74401  0.48545  0.15139 -0.10901  0.98244  0.18036 -0.97417 -0.13588 -0.97188 -0.19777  0.12782
